band,rows,cells,feature,abs_share,within_cell_share,corr_with_truth_within,r2_within_band,r2_within_alpha,within_frac_of_target_var
d3_5,1944,18,aspect_ratio,0.00769053707092424,0.03201603859121382,0.5869568654114937,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,centroid_dist_mean,0.008724793541767695,-0.006633197895804306,-0.11450227858646941,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,centroid_dist_std,0.020860025522554518,0.016445835064175268,0.11227438444226695,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,centroid_dist_max,0.0038228133495359644,-0.0011817261493043468,-0.05531529959765735,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,centroid_dist_iqr,0.006842302159620419,0.004164594006580237,0.07562328757952118,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_mean,0.002267590279791279,0.0004120106075288616,0.051348900602301406,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_std,0.004227110574678866,-0.0004884994196781707,-0.006763895863157255,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_skew,0.011860419911085638,0.023782185356544774,0.32870322326407586,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_kurtosis,0.003732931363265634,-0.0009364527555637591,-0.07678003604609769,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_max,0.005048891623484714,-0.000850209929865305,-0.005536098951488139,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_q10,0.0025665591280068234,-0.0008764934466546165,-0.06617852898530704,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_q25,0.005360231252054004,0.001257010873467211,0.048913654385202184,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_q50,0.0033560373154795054,0.0012670264124520823,0.06064114781272295,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_q75,0.004759901776444775,0.0007121435038024096,0.04789169482373644,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_edge_q90,0.004007681904898278,0.00094442330775716,0.06948236982129423,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_dominance_ratio,0.25171408853840027,0.28526597715077523,0.6941109727153489,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_gap_ratio,0.018584435087617642,0.023679204688160836,0.3393827169138921,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_leaf_ratio,0.01837545801433902,0.019721699186125565,0.28279173866478113,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_degree_mean,0.038962264314181656,0.032799796560398095,0.46417181196154067,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_degree_std,0.007674107636680522,0.006707028242574861,0.32464323863913863,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_degree_max,0.0068175532962347195,0.000910183386002558,0.07560101930846967,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_diameter,0.019471666297876087,0.023456868254221757,0.20719023831276817,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,mst_diameter_normalized,0.08039474630337984,0.06492832200508902,0.38250778377782607,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,large_edge_count,0.021373785819778703,0.016248371722752394,0.37331810386751013,0.8098769077135709,0.8351930711204462,0.15304052765892615
d3_5,1944,18,greedy_nn_over_mst,0.21698309663258758,0.3795236461961933,0.7754748648713345,0.8098769077135709,0.8351930711204462,0.15304052765892615
d6_10,3240,30,n_customers,0.10808611025207246,0.1161012379500536,0.6057216619121057,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,dimension,0.01718899335057323,-0.01609127157734879,-0.3500195858873514,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,log_bounding_hypervolume,0.05377167926802628,0.002488187406901019,0.03270468620238748,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,bounding_hypervolume,0.0259255329559058,0.003908987280654156,0.13132741472835444,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,log_node_density,0.003593703488994809,0.0006723791470877666,0.07500110010424198,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,node_density,0.003001002279193829,0.004296832534638675,0.32531143341865226,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,aspect_ratio,0.004942798334219017,0.005653959051272899,0.19267397880455095,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,centroid_dist_mean,0.008987175839779279,-0.0018260037130360233,-0.02582464702042062,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,centroid_dist_std,0.025307677400533104,0.018458893767455832,0.13896276317376008,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,centroid_dist_max,0.0032375247799087013,0.0009036493070956698,0.04849623209889816,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,centroid_dist_iqr,0.007064492707585855,0.0038731532416734424,0.1001074072953179,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_mean,0.0036860694336651578,0.00019838932113194283,0.014251180255281467,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_std,0.005924607886995236,-0.00010924450566865026,-0.0005881643208523787,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_skew,0.009821116148987947,0.011560865429668507,0.23131662523633703,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_kurtosis,0.005101164407764561,0.0005837988569477674,-0.0014583595603408434,0.8530925564225853,0.891472598328496,0.1078925302922542
d6_10,3240,30,mst_edge_max,0.005220882096951483,-0.0009685954076419015,-0.03181901025727416,0.8530925564225853,0.891472598328496,0.1078925302922542
