population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n70-g1000-4,70,2,,5.297858486752173,2.1850967994278707,1.7709778692074194,False
benchmark,TSP-line_noise-n70-g1000-5,70,2,,6.531365751541245,2.124224131981906,1.703886567399819,False
benchmark,TSP-line_noise-n70-g10000-1,70,2,,4.806089624800546,2.402150448010366,1.6961943952014902,False
benchmark,TSP-line_noise-n70-g10000-2,70,2,,2.312059630201758,2.488414025341827,1.55208425377698,False
benchmark,TSP-line_noise-n70-g10000-3,70,2,,1.123068111549781,2.4005704951301516,1.4064268183826532,False
benchmark,TSP-line_noise-n70-g10000-4,70,2,,6.994992725903072,2.063401478574121,1.7337684217339642,False
benchmark,TSP-line_noise-n70-g10000-5,70,2,,4.803766674316339,2.075377677920113,1.7473997409414483,False
benchmark,TSP-line_noise-n700-g1000-1,700,2,,53.34902850549865,2.443431498715933,1.3178037095095865,True
benchmark,TSP-line_noise-n700-g1000-2,700,2,,44.15303225762928,2.472645841629679,1.255238754423013,True
benchmark,TSP-line_noise-n700-g1000-3,700,2,,47.28892351504708,1.9967972234631757,1.318732183292019,True
benchmark,TSP-line_noise-n700-g1000-4,700,2,,14.792943719357487,3.751928028013644,1.1746266689267773,True
benchmark,TSP-line_noise-n700-g1000-5,700,2,,13.699917511378896,3.135220530655826,1.141660113380292,True
benchmark,TSP-line_noise-n700-g10000-1,700,2,,61.82627109398159,2.0561590780211447,1.3559296881342573,True
benchmark,TSP-line_noise-n700-g10000-2,700,2,,63.998732102928415,1.8804668444371064,1.3057872341031544,True
benchmark,TSP-line_noise-n700-g10000-3,700,2,,65.07205654364812,2.10567800594084,1.3236141180209346,True
benchmark,TSP-line_noise-n700-g10000-4,700,2,,52.71066665990358,1.8617285422476448,1.3832316477764914,True
benchmark,TSP-line_noise-n700-g10000-5,700,2,,48.81004166572042,2.2178530958538643,1.274365790474416,True
benchmark,TSP-line_noise-n8-g1000-1,8,2,,0.23019682997105134,1.80496970189423,1.9575646292617104,False
benchmark,TSP-line_noise-n8-g1000-2,8,2,,0.5723675733801582,2.699794274359272,1.8254007656510345,False
benchmark,TSP-line_noise-n8-g1000-3,8,2,,0.7740021574938216,3.376425065452151,1.8228436115824105,False
benchmark,TSP-line_noise-n8-g1000-4,8,2,,0.4270490732142836,1.4188954714473312,1.867434597359931,False
benchmark,TSP-line_noise-n8-g1000-5,8,2,,0.537114820827816,1.2356598229245495,1.8325377741529352,False
benchmark,TSP-line_noise-n8-g10000-1,8,2,,0.11660717320503718,1.4309509449338338,1.965810635334142,False
benchmark,TSP-line_noise-n8-g10000-2,8,2,,0.742848930225116,1.6423778561979379,1.9092571178167568,False
benchmark,TSP-line_noise-n8-g10000-3,8,2,,1.1066298334207356,1.69715212669284,1.803839959580432,False
benchmark,TSP-line_noise-n8-g10000-4,8,2,,0.3159977889034249,2.723132848502834,1.9445217966490675,False
benchmark,TSP-line_noise-n8-g10000-5,8,2,,0.32901348094129135,1.4676437546751961,1.8746609795089757,False
benchmark,TSP-line_noise-n80-g1000-1,80,2,,5.546905800595812,2.1574770943652966,1.745834461026659,False
benchmark,TSP-line_noise-n80-g1000-2,80,2,,5.8809452146578725,2.1926065231921013,1.63332757154177,False
benchmark,TSP-line_noise-n80-g1000-3,80,2,,5.883755551000696,2.2804012196998644,1.7418873814951492,False
