table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,420,9.944589289944634,8.909569591897167,10.931891972930055,9.611269753491865,10.46188135063897,4.648322315607525,10.966598951008121,0.9778654861627917,-0.08683836384750121,28.166100004455
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",420,5.064905879793245,4.372484184107494,5.708319426324151,2.9910049313260476,1.142022539398185,0.5299405855686325,5.086553782018866,0.9994890629181349,0.7363569507320555,24.6632499620318
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),420,7.886046438542838,6.973066073037518,8.679711889283539,17.014015819543793,13.757008448676029,-17.014015819543793,18.748823748613198,0.9726144390739534,-2.2993509834087305,24.564099992858196
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Asymptotic_MST,Asymptotic MST ratio,420,8.873826382590298,7.9259026728922155,9.752220305418586,6.691094843574122,2.9544982132945883,-6.619467493039007,11.062307939729507,0.9980457503515473,-0.4190513654854908,22.5084499979857
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,BHH_region,BHH (sampling region),420,13.513288208831094,12.19149851714954,14.673562106749257,10.161675665408096,8.273958173770064,-0.7084281347531977,13.515770248239585,0.9839035260687341,---,0.08955001248978078
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,LGBM_V4,GART 2.0 (32-feature variant),420,2.4998261094543226,2.1872656984283307,2.805164858997157,1.8790470483921602,1.4315317961026532,0.5395700801664488,2.554483816075756,0.9996306961408677,0.9428252545014048,46.110249997582244
2d_by_genclass,"Geometric: Boundary, X-Central",geometric_other,420,Interp_V3,Interpretable (same features),420,3.2104843942920778,2.8681517910696246,3.5417186062192703,2.4004037054291345,1.6497827793545308,0.7981275012722242,3.3044933920315276,0.9994307452391376,---,322.79509999898437
2d_by_genclass,Clustered,clustered,60,GART_2.0,GART 2.0,60,2.7480255877620277,2.056203228211985,3.3593810940560513,2.241039299957301,1.7593838868193807,-1.05555398119518,2.92232409126057,0.9992308089551135,0.8277200630438888,147.8114500059746
2d_by_genclass,Clustered,clustered,60,GART,GART 1.0,60,6.708960645215981,5.462726251035846,7.85994729648109,5.406042549972013,4.063537271703814,-2.527574579115706,7.116784173796325,0.9969292413751399,-0.07087575769852061,69.22999999369489
2d_by_genclass,Clustered,clustered,60,MST_Ratio,Fixed MST scaling,60,6.078016125744671,4.922044632736221,6.974074024903279,14.493973917335074,13.360585711736096,-14.493973917335074,15.69719259212046,0.9809282578240882,-4.004112813424698,26.5711000101873
